#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
1;3;122244;40,82;#BEC5D1;;190;197;209;217;9;82;79,3;-0,1;-6,8;pale blue-cyan
1;2;44992;15,02;#959794;;149;151;148;100;2;59;62,2;-1,3;1,3;grey
1;5;39688;13,25;#5F6B3A;;95;107;58;74;45;42;43,1;-13,2;25,9;yellow
1;1;37892;12,65;#64656B;;100;101;107;231;6;42;42,9;0,9;-3,5;grey
1;6;35376;11,81;#2F3A46;;47;58;70;211;32;27;23,9;-1,2;-8,9;dark blue-cyan
1;4;19298;6,44;#4C402F;;76;64;47;35;38;29;27,9;2,3;12,3;dark orange
2;3;89814;30,02;#777476;;119;116;118;320;2;46;49,2;1,5;-0,7;grey
2;2;62998;21,05;#9EA3B6;;158;163;182;227;13;71;67,2;2,1;-10,4;pale blue
2;1;54210;18,12;#43413B;;67;65;59;45;11;26;27,5;-0,4;4;dark orange
2;4;53982;18,04;#CFCBD2;;207;203;210;274;3;82;82,2;2,7;-3;very light grey
2;6;31918;10,67;#5679B3;;86;121;179;217;52;70;50,6;4,4;-34,5;blue-cyan
2;5;6287;2,1;#BD4D1D;;189;77;29;18;84;74;47,3;42,8;48,4;vivid red-orange
3;4;69226;23,12;#393C34;;57;60;52;82;13;23;24,8;-3;4,5;dark yellow-green
3;6;66209;22,12;#6F6F64;;111;111;100;60;9;43;46,5;-2,1;6,1;pale yellow
3;3;64825;21,65;#909D7F;;144;157;127;86;19;61;63;-10,2;14,2;pale yellow-green
3;2;49800;16,63;#5F714C;;95;113;76;89;32;44;45,3;-13,9;18,4;yellow-green
3;1;37162;12,41;#BEB4B2;;190;180;178;10;6;74;74,1;3,2;2,3;light grey
3;5;12154;4,06;#C0C465;;192;196;101;62;48;76;77,1;-14,8;46,8;yellow
4;2;71866;23,99;#33453D;;51;69;61;153;26;27;27,6;-9,1;2,5;dark blue-green
4;6;57476;19,19;#A9BFEC;;169;191;236;220;28;92;77,1;2,5;-24,8;light blue-cyan
4;5;51318;17,13;#556D7D;;85;109;125;204;32;49;44,7;-4,7;-11,7;blue-cyan
4;1;41633;13,9;#839BD3;;131;155;211;222;37;82;64,1;5,4;-31,3;light blue-cyan
4;3;41390;13,82;#CFD4E6;;207;212;230;227;10;90;85;1,8;-9,4;pale blue
4;4;35873;11,98;#7E7D5D;;126;125;93;58;26;49;51,7;-5,2;17,6;yellow-orange
5;3;72030;24,04;#847B76;;132;123;118;21;10;51;52,3;2,5;4;pale red-orange
5;2;58732;19,61;#76411D;;118;65;29;24;75;46;33,4;19,8;31,1;red-orange
5;1;55720;18,6;#CD8F34;;205;143;52;35;74;80;64,1;15,4;55,3;orange
5;4;54768;18,28;#A75517;;167;85;23;25;86;65;45,3;29,8;47,8;vivid red-orange
5;6;40206;13,42;#A77B4D;;167;123;77;30;53;65;55;11,6;31,7;orange
5;5;18112;6,05;#372215;;55;34;21;22;61;21;15,5;8,3;12,8;dark red-orange
6;6;86156;28,8;#BAAFA8;;186;175;168;23;9;72;72,2;2,7;5;pale red-orange
6;2;60031;20,07;#E0D5D0;;224;213;208;18;7;87;86;2,9;3,8;very light grey
6;5;45916;15,35;#8F7471;;143;116;113;6;21;56;51,3;10,1;5,6;pale red
6;3;41872;14;#4E4647;;78;70;71;352;10;30;30,5;3,6;0,6;dark red
6;1;33786;11,3;#898F84;;137;143;132;92;7;56;58,6;-4,3;5,1;grey
6;4;31344;10,48;#B07A4D;;176;122;77;27;56;69;55,8;16,1;32,9;red-orange
7;3;67282;22,49;#CA804E;;202;128;78;24;61;79;60,4;23,8;38,7;red-orange
7;2;60685;20,28;#784128;;120;65;40;18;66;47;33,8;21,4;25,4;red-orange
7;1;57358;19,17;#5B6B77;;91;107;119;205;23;46;44,3;-3,1;-8,7;pale blue-cyan
7;4;52460;17,53;#342B25;;52;43;37;24;28;20;18,3;3;5,4;dark red-orange
7;5;43187;14,43;#9F7E67;;159;126;103;24;35;62;55,4;9,4;17,4;red-orange
7;6;18237;6,1;#E1DED3;;225;222;211;47;6;88;88,4;-0,9;5,7;very light grey
8;1;75616;25,24;#603E33;;96;62;51;14;46;37;29,8;13,4;12,8;dark red
8;4;60028;20,04;#696D63;;105;109;99;84;9;42;45,4;-3,6;5,1;pale yellow-green
8;3;58183;19,42;#36322F;;54;50;47;25;13;21;21,1;1,1;2,5;dark red-orange
8;5;42363;14,14;#A06D5A;;160;109;90;16;43;62;50,9;17,9;18,8;red-orange
8;2;36353;12,14;#A99C8C;;169;156;140;33;17;66;65;2;10,1;pale orange
8;6;27025;9,02;#D9D5C6;;217;213;198;47;8;85;85,2;-1,2;7,9;pale yellow-orange
9;5;97567;32,57;#4F525D;;79;82;93;227;15;36;35;1,4;-6,8;dark blue
9;4;50277;16,78;#6D4237;;109;66;55;12;49;42;32,8;17,3;14,5;red
9;1;44486;14,85;#A57C5E;;165;124;94;25;43;64;55,3;11,9;22,6;red-orange
9;6;41514;13,86;#C8624E;;200;98;78;9;61;78;53,6;38,9;30,3;red
9;3;33724;11,26;#DDAC79;;221;172;121;30;45;86;73,7;11,5;33,1;orange
9;2;31970;10,67;#3F3735;;63;55;53;12;15;24;23,8;3,1;2,5;dark red
10;1;63730;21,29;#312B2D;;49;43;45;340;12;19;18,2;3,2;-0,3;very dark red-violet
10;2;63113;21,09;#B5AAB3;;181;170;179;310;6;71;70,8;5,6;-3,2;light grey
10;6;53607;17,91;#5E6184;;94;97;132;235;28;51;42,1;7,3;-19,8;blue
10;3;53470;17,87;#866C62;;134;108;98;16;26;52;47,8;8,7;9,5;red-orange
