#;Space;Channel;Mean;Median;Min;Max;Std
1;RGB;Red;136,02;143;0;255;55,57
1;RGB;Green;141,77;148;0;255;55,64
1;RGB;Blue;140,52;144;0;255;66,73
1;HSV;Hue;174,68;213,33;0;359,42;76,61
1;HSV;Saturation;20,29;10,46;0;100;18,32
1;HSV;Value;59,42;60,78;0;100;22,35
1;Lab;Lightness;57,73;60,9;0;100;21,91
1;Lab;Green-Red;-1,88;-0,47;-31,34;71,39;6,21
1;Lab;Blue-Yellow;0,29;-5,25;-29,77;61,69;12,71
1;LCH;Lightness;57,73;60,9;0;100;21,91
1;LCH;Chroma;11,01;7,18;0;93,3;9,08
1;LCH;Hue;213,93;263,08;0;360;81,78
2;RGB;Red;131,97;128;0;255;51,44
2;RGB;Green;132,38;128;0;255;48,91
2;RGB;Blue;142,56;148;0;255;58,06
2;HSV;Hue;183,08;221,01;0;359,75;90,08
2;HSV;Saturation;19,18;10,86;0;100;20,53
2;HSV;Value;59,32;62,35;0;100;20,38
2;Lab;Lightness;55,23;54,24;0;100;19
2;Lab;Green-Red;2,95;1,83;-11,89;78,92;6,99
2;Lab;Blue-Yellow;-4,98;-4,21;-44,28;84,2;15,02
2;LCH;Lightness;55,23;54,24;0;100;19
2;LCH;Chroma;11,76;6,95;0;102,51;13,03
2;LCH;Hue;230,31;277,76;0;360;91,31
3;RGB;Red;116,54;114;0;255;48,72
3;RGB;Green;122,04;123;0;255;46,94
3;RGB;Blue;100,96;97;0;255;44,14
3;HSV;Hue;96,58;86,4;0;358,95;62,68
3;HSV;Saturation;19,76;17,65;0;100;13
3;HSV;Value;49,12;49,02;0;100;19,32
3;Lab;Lightness;49,66;50,36;0;100;18,64
3;Lab;Green-Red;-5,81;-5,2;-29,36;48,16;7,35
3;Lab;Blue-Yellow;10,72;8,85;-55,81;85,13;10,95
3;LCH;Lightness;49,66;50,36;0;100;18,64
3;LCH;Chroma;14,14;11,88;0;87,33;11,09
3;LCH;Hue;130,81;125,82;0;360;57,25
4;RGB;Red;121,53;123;1;255;56,72
4;RGB;Green;138,02;137;3;255;53,66
4;RGB;Blue;154,03;151;0;255;74,58
4;HSV;Hue;181,1;209,27;0;359,05;60,51
4;HSV;Saturation;28,22;29,79;0;100;10,96
4;HSV;Value;63,08;62,35;1,57;100;27,12
4;Lab;Lightness;56,05;56,86;0,82;100;21,6
4;Lab;Green-Red;-1,94;-1,26;-23,17;51,57;6,22
4;Lab;Blue-Yellow;-9,7;-10,68;-41,63;92,34;16,42
4;LCH;Lightness;56,05;56,86;0,82;100;21,6
4;LCH;Chroma;17,86;15,29;0;94,77;9,33
4;LCH;Hue;223,46;259,61;0,01;359,93;68,27
5;RGB;Red;149,89;151;14;255;43,45
5;RGB;Green;103,51;104;0;255;38,6
5;RGB;Blue;59,9;49;0;247;43,14
5;HSV;Hue;42,69;28,89;0;359,03;55,77
5;HSV;Saturation;59,75;68,64;0;100;27,64
5;HSV;Value;59,22;59,61;5,49;100;16,84
5;Lab;Lightness;47,84;48,55;0,84;99,8;14,88
5;Lab;Green-Red;15;14,3;-15,58;53,62;10,52
5;Lab;Blue-Yellow;30,92;33,54;-24,44;75,75;19,83
5;LCH;Lightness;47,84;48,55;0,84;99,8;14,88
5;LCH;Chroma;35,77;38,82;0;78,45;20,15
5;LCH;Hue;77,69;65,09;0,02;359,97;55,11
6;RGB;Red;165,8;174;15;255;48,3
6;RGB;Green;150,15;155;8;255;48,56
6;RGB;Blue;141,02;145;0;255;51,45
6;HSV;Hue;107,3;33,85;0;359,15;124,64
6;HSV;Saturation;16,71;10,1;0;100;16,74
6;HSV;Value;65,68;68,63;5,88;100;18,64
6;Lab;Lightness;62,85;65,15;2,9;100;18,37
6;Lab;Green-Red;4,75;3,97;-13,04;37,41;7,14
6;Lab;Blue-Yellow;7,17;3,74;-10,76;52,31;10,16
6;LCH;Lightness;62,85;65,15;2,9;100;18,37
6;LCH;Chroma;10,8;7,15;0;57,54;10,56
6;LCH;Hue;93,68;63,3;0;360;88,2
7;RGB;Red;133,29;126;7;255;61,54
7;RGB;Green;102,39;100;0;255;50,38
7;RGB;Blue;83,16;74;0;255;50,48
7;HSV;Hue;68,37;26,84;0;359,64;84,57
7;HSV;Saturation;42,69;41,94;0;100;22,48
7;HSV;Value;54,68;52,55;2,75;100;23,29
7;Lab;Lightness;45,77;44,48;1,02;100;20,17
7;Lab;Green-Red;10,8;9,33;-16,84;67,2;12,78
7;Lab;Blue-Yellow;16,19;18,04;-23,86;71,52;17,86
7;LCH;Lightness;45,77;44,48;1,02;100;20,17
7;LCH;Chroma;23,87;21,31;0;86,35;17,06
7;LCH;Hue;103,24;64,44;0,01;359,96;80,52
8;RGB;Red;119;109;2;255;52,34
8;RGB;Green;101,06;90;3;255;51,62
8;RGB;Blue;89,86;79;0;255;48,86
8;HSV;Hue;52,6;25,71;0;359,08;56,59
8;HSV;Saturation;27,71;25,42;0;100;17,75
8;HSV;Value;47,5;44,31;1,18;100;20,31
8;Lab;Lightness;43,64;40,58;0,7;100;20,18
8;Lab;Green-Red;5,8;4,51;-16,41;39,49;9,33
8;Lab;Blue-Yellow;9,42;8,36;-8,6;39,42;6,82
8;LCH;Lightness;43,64;40,58;0,7;100;20,18
8;LCH;Chroma;13,29;11,67;0;49,66;8,9
8;LCH;Hue;85,78;63,73;0,04;359,98;54,1
9;RGB;Red;128,17;105;20;255;59,24
9;RGB;Green;95,56;84;15;245;37,26
9;RGB;Blue;83,97;90;2;230;26,9
9;HSV;Hue;97,86;30,62;0;359,44;104,66
9;HSV;Saturation;36,31;37,4;0;96,36;18,8
9;HSV;Value;52,31;41,18;8,63;100;21,53
9;Lab;Lightness;43,57;37,2;5,1;96,93;15,98
9;Lab;Green-Red;12,13;8,72;-7,38;54,23;13,11
9;Lab;Blue-Yellow;11,87;12,09;-12,39;50,74;16,46
9;LCH;Lightness;43,57;37,2;5,1;96,93;15,98
9;LCH;Chroma;21,83;18,61;0;69,61;15,95
9;LCH;Hue;131,96;70,18;0,02;359,98;109,47
10;RGB;Red;121,64;123;1;255;54,7
10;RGB;Green;99,21;94;2;255;49,03
10;RGB;Blue;99,97;91;0;255;57,01
10;HSV;Hue;152,81;200;0;359,29;127,2
10;HSV;Saturation;34,91;30,43;0;100;21
10;HSV;Value;51,77;53,33;1,57;100;21,3
10;Lab;Lightness;43,99;44,08;0,69;100;19,77
10;Lab;Green-Red;10,61;7,97;-19,27;40,41;10,83
10;Lab;Blue-Yellow;3,83;2,19;-47,69;58,41;17,96
10;LCH;Lightness;43,99;44,08;0,69;100;19,77
10;LCH;Chroma;19,89;17,46;0;61,85;13,11
10;LCH;Hue;165,1;105,29;0;360;124,38
11;RGB;Red;94,93;74;0;255;82,17
11;RGB;Green;89,63;63;0;255;82
11;RGB;Blue;86,36;61;0;255;83,27
11;HSV;Hue;82,22;28,42;0;358,24;113,32
11;HSV;Saturation;27,66;16,67;0;100;28,3
11;HSV;Value;37,44;29,02;0;100;32,19
11;Lab;Lightness;36,44;27,7;0;100;33,11
11;Lab;Green-Red;1,61;1,12;-9,5;20,25;2,88
11;Lab;Blue-Yellow;2,46;2,2;-20,1;21,7;3,13
11;LCH;Lightness;36,44;27,7;0;100;33,11
11;LCH;Chroma;4,09;3,55;0;27,98;3,17
11;LCH;Hue;118,78;90,99;0;360;97,25
12;RGB;Red;77,37;70;0;250;41,36
12;RGB;Green;64,03;57;0;241;38,2
12;RGB;Blue;43,03;37;0;255;35,72
12;HSV;Hue;39,5;36,59;0;357,6;26,4
12;HSV;Saturation;52,72;48,73;0;100;26,49
12;HSV;Value;30,44;27,45;0;100;16,18
12;Lab;Lightness;27,46;24,7;0;94,33;16,33
12;Lab;Green-Red;2,59;2,49;-25,66;21,14;3,1
12;Lab;Blue-Yellow;14,32;14,24;-58,25;56,1;7,24
12;LCH;Lightness;27,46;24,7;0;94,33;16,33
12;LCH;Chroma;14,87;14,72;0;59,63;7,25
12;LCH;Hue;81,63;79,38;0;359,98;26,01
13;RGB;Red;108,64;107;0;255;55,77
13;RGB;Green;60,7;53;0;255;45,13
13;RGB;Blue;16,72;7;0;255;26,02
13;HSV;Hue;38,83;26,25;0;359,15;63,23
13;HSV;Saturation;86,29;92,31;0;100;18,24
13;HSV;Value;42,84;42,35;0;100;21,85
13;Lab;Lightness;30,37;29,14;0;99,26;19,26
13;Lab;Green-Red;17,55;18,65;-18,17;41,34;7,05
13;Lab;Blue-Yellow;31,32;32,67;-43,25;83,62;19,98
13;LCH;Lightness;30,37;29,14;0;99,26;19,26
13;LCH;Chroma;37,54;39,72;0;84,41;18,13
13;LCH;Hue;63,71;57,74;0;359,99;50,74
14;RGB;Red;126,48;112;0;255;67,41
14;RGB;Green;130,09;125;0;255;72,55
14;RGB;Blue;144,91;154;0;255;76,29
14;HSV;Hue;250,28;226;0;357;52,21
14;HSV;Saturation;16,63;14,46;0;100;10,21
14;HSV;Value;57,17;60,39;0;100;29,58
14;Lab;Lightness;53,15;52,2;0;100;28,26
14;Lab;Green-Red;2,3;1,67;-6,4;11,34;2,67
14;Lab;Blue-Yellow;-8,21;-6,54;-31,18;7,14;6,32
14;LCH;Lightness;53,15;52,2;0;100;28,26
14;LCH;Chroma;9,47;7,78;0;31,97;5,49
14;LCH;Hue;291,25;280,68;0;359,99;40,43
15;RGB;Red;47,22;26;0;255;52,4
15;RGB;Green;37,87;19;0;255;48,87
15;RGB;Blue;8,38;3;0;255;20,69
15;HSV;Hue;44,85;41,25;0;358,24;31,44
15;HSV;Saturation;80,92;91,73;0;100;24,53
15;HSV;Value;18,59;10,2;0;100;20,55
15;Lab;Lightness;15,04;6,38;0;100;20,15
15;Lab;Green-Red;0,59;0,75;-26,12;69,36;3,81
15;Lab;Blue-Yellow;15,5;6,94;-52,89;94,48;19,26
15;LCH;Lightness;15,04;6,38;0;100;20,15
15;LCH;Chroma;15,95;7,42;0;96,92;19,27
15;LCH;Hue;87,13;85,41;0;359,67;32,13
16;RGB;Red;105,74;102;0;255;64,38
16;RGB;Green;83,05;74;0;255;64,76
16;RGB;Blue;85,41;76;0;255;60,9
16;HSV;Hue;190,6;228;0;359,5;135,7
16;HSV;Saturation;40,87;43,27;0;100;24,37
16;HSV;Value;43,57;42,75;0;100;26,06
16;Lab;Lightness;36,8;35,7;0;99,2;26,03
16;Lab;Green-Red;10,57;9,21;-25,16;50,45;11,73
16;Lab;Blue-Yellow;2,82;1,29;-45,21;61,01;13,53
16;LCH;Lightness;36,8;35,7;0;99,2;26,03
16;LCH;Chroma;17,16;13,09;0;61,08;12,07
16;LCH;Hue;166,15;114,94;0;360;134,17
17;RGB;Red;74,25;48;5;255;68,06
17;RGB;Green;51;26;0;255;63,08
17;RGB;Blue;33,01;16;0;255;46,74
17;HSV;Hue;31,99;19,35;0;358,75;60,58
17;HSV;Saturation;61,53;63,83;0;100;12,82
17;HSV;Value;29,13;18,82;1,96;100;26,72
17;Lab;Lightness;22,15;12,13;0,64;100;25,65
17;Lab;Green-Red;8,09;8,59;-21,24;36,1;5,72
17;Lab;Blue-Yellow;14,03;10,47;-7,39;74,19;13,15
17;LCH;Lightness;22,15;12,13;0,64;100;25,65
17;LCH;Chroma;17,17;13,98;0;76,75;13,16
17;LCH;Hue;53,72;48,96;0,02;359,88;38,81
18;RGB;Red;109,07;95;0;255;60,94
18;RGB;Green;89,93;78;0;255;54,67
18;RGB;Blue;75,24;57;0;251;54,12
18;HSV;Hue;56,46;26,94;0;359,14;92,01
18;HSV;Saturation;36,28;36,3;0;100;18,22
18;HSV;Value;42,81;37,25;1,57;100;23,84
18;Lab;Lightness;38,67;34,58;0,1;99,9;22,96
18;Lab;Green-Red;5,66;4,95;-7,26;33,69;4,89
18;Lab;Blue-Yellow;11,49;10,18;-7,6;60,7;9,8
18;LCH;Lightness;38,67;34,58;0,1;99,9;22,96
18;LCH;Chroma;13,66;11,43;0;64,97;9,87
18;LCH;Hue;74,82;63,21;0,02;360;65,09
19;RGB;Red;88,46;71;0;255;69,16
19;RGB;Green;62,83;45;0;255;53,81
19;RGB;Blue;35,23;22;0;255;38,33
19;HSV;Hue;35,58;30,83;0;357,86;25,84
19;HSV;Saturation;64,18;65,43;0;100;17,38
19;HSV;Value;34,73;27,84;0;100;27,1
19;Lab;Lightness;27,65;21,11;0;100;23,61
19;Lab;Green-Red;7,34;8,14;-12,76;28,47;6,55
19;Lab;Blue-Yellow;19,46;18,44;-6,95;57,52;13,45
19;LCH;Lightness;27,65;21,11;0;100;23,61
19;LCH;Chroma;21,26;20,78;0;58,81;14,29
19;LCH;Hue;73,73;69,02;0;359,69;25,83
20;RGB;Red;92,34;66;0;255;69,86
20;RGB;Green;72,94;46;0;255;63
20;RGB;Blue;53,14;25;0;255;58,95
20;HSV;Hue;44,03;30;0;358,06;61,16
20;HSV;Saturation;54,84;59,84;0;100;26,71
20;HSV;Value;36,24;25,88;0;100;27,42
20;Lab;Lightness;31,18;20,77;0;100;26,5
20;Lab;Green-Red;5,65;4,87;-17,39;34,69;5,64
