#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
1;136;141,8;140,5;174,7;20,3;59,4;57,7;11;#BEC5D1;40,82;pale blue-cyan;#959794;15,02;grey;#5F6B3A;13,25;yellow;#64656B;12,65;grey;#2F3A46;11,81;dark blue-cyan
2;132;132,4;142,6;183,1;19,2;59,3;55,2;11,8;#777476;30,02;grey;#9EA3B6;21,05;pale blue;#43413B;18,12;dark orange;#CFCBD2;18,04;very light grey;#5679B3;10,67;blue-cyan
3;116,5;122;101;96,6;19,8;49,1;49,7;14,1;#393C34;23,12;dark yellow-green;#6F6F64;22,12;pale yellow;#909D7F;21,65;pale yellow-green;#5F714C;16,63;yellow-green;#BEB4B2;12,41;light grey
4;121,5;138;154;181,1;28,2;63,1;56;17,9;#33453D;23,99;dark blue-green;#A9BFEC;19,19;light blue-cyan;#556D7D;17,13;blue-cyan;#839BD3;13,9;light blue-cyan;#CFD4E6;13,82;pale blue
5;149,9;103,5;59,9;42,7;59,8;59,2;47,8;35,8;#847B76;24,04;pale red-orange;#76411D;19,61;red-orange;#CD8F34;18,6;orange;#A75517;18,28;vivid red-orange;#A77B4D;13,42;orange
6;165,8;150,2;141;107,3;16,7;65,7;62,9;10,8;#BAAFA8;28,8;pale red-orange;#E0D5D0;20,07;very light grey;#8F7471;15,35;pale red;#4E4647;14;dark red;#898F84;11,3;grey
7;133,3;102,4;83,2;68,4;42,7;54,7;45,8;23,9;#CA804E;22,49;red-orange;#784128;20,28;red-orange;#5B6B77;19,17;pale blue-cyan;#342B25;17,53;dark red-orange;#9F7E67;14,43;red-orange
8;119;101,1;89,9;52,6;27,7;47,5;43,6;13,3;#603E33;25,24;dark red;#696D63;20,04;pale yellow-green;#36322F;19,42;dark red-orange;#A06D5A;14,14;red-orange;#A99C8C;12,14;pale orange
9;128,2;95,6;84;97,9;36,3;52,3;43,6;21,8;#4F525D;32,57;dark blue;#6D4237;16,78;red;#A57C5E;14,85;red-orange;#C8624E;13,86;red;#DDAC79;11,26;orange
10;121,6;99,2;100;152,8;34,9;51,8;44;19,9;#312B2D;21,29;very dark red-violet;#B5AAB3;21,09;light grey;#5E6184;17,91;blue;#866C62;17,87;red-orange;#6D3824;11,19;red-orange
